0.02	0.0276444
0.02	0.0281039
0.02	0.0278067
0.02	0.0278604
0.02	0.0282715
0.02	0.0278224
0.02	0.0276481
0.02	0.0280557
0.02	0.0276388
0.02	0.0275761
0.02	0.0270692
0.02	0.0278703
0.02	0.0276507
0.02	0.0294574
0.02	0.0283069
0.02	0.0281005
0.02	0.0275874
0.02	0.0276682
0.02	0.0279047
0.02	0.0273906
0.02	0.0290024
0.02	0.0284003
0.02	0.0285538
0.02	0.027262
0.02	0.0286172
0.02	0.0283787
0.02	0.0280529
0.02	0.0275853
0.02	0.027871
0.02	0.0279795
0.02	0.0273413
0.02	0.0280845
0.02	0.0283817
0.02	0.0281912
0.02	0.028085
0.02	0.0285458
0.02	0.0289481
0.02	0.0282397
0.02	0.0276541
0.02	0.027757
0.02	0.0282593
0.02	0.0280147
0.02	0.02817
0.02	0.0283396
0.02	0.0276168
0.02	0.0286844
0.02	0.0278095
0.02	0.0274605
0.02	0.0276385
0.02	0.0277798
0.02	0.0277563
0.02	0.0285163
0.02	0.0281755
0.02	0.0271612
0.02	0.0277344
0.02	0.0276076
0.02	0.0276979
0.02	0.0276152
0.02	0.027575
0.02	0.0288576
0.02	0.0272894
0.02	0.0285258
0.02	0.028196
0.02	0.0282056
0.02	0.0285197
0.02	0.028446
0.02	0.0280227
0.02	0.0289465
0.02	0.0282227
0.02	0.0285005
0.02	0.0278332
0.02	0.028817
0.02	0.0277537
0.02	0.0272632
0.02	0.0282452
0.02	0.0277144
0.02	0.0276094
0.02	0.0281872
0.02	0.0276807
0.02	0.0278887
0.02	0.0274697
0.02	0.0273932
0.02	0.0283134
0.02	0.0283401
0.02	0.0278678
0.02	0.0287171
0.02	0.028147
0.02	0.0281769
0.02	0.0285077
0.02	0.0268341
0.02	0.0282843
0.02	0.027977
0.02	0.028396
0.02	0.0279579
0.02	0.0287897
0.02	0.0273946
0.02	0.0283413
0.02	0.0274397
0.02	0.0278891
0.02	0.0282842
0.02	0.0287553
0.02	0.0281315
0.02	0.0274989
0.02	0.0279607
0.02	0.0269305
0.02	0.0279454
0.02	0.0275281
0.02	0.0273742
0.02	0.0278922
0.02	0.0286465
0.02	0.027745
0.02	0.027576
0.02	0.0292583
0.02	0.0280318
0.02	0.0279746
0.02	0.0282541
0.02	0.0286568
0.02	0.0285649
0.02	0.0280097
0.02	0.0282591
0.02	0.0286383
0.02	0.0284696
0.02	0.0282652
0.02	0.0281738
0.02	0.0285564
0.02	0.028918
0.02	0.0283689
0.02	0.0282005
0.02	0.0276471
0.02	0.0283072
0.02	0.0280024
0.02	0.0274958
0.02	0.0276631
0.02	0.0275569
0.02	0.0279644
0.02	0.0288703
